LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 1.4
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.005
variable tau equal 100*${dt}
variable tau equal 100*0.005
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.005
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 2 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.010 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.005
thermo ${thermo_time}
thermo 250

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 0.5
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.098 | 3.098 | 3.098 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
Performance: 3111413.758 tau/day, 7202.347 timesteps/s, 14.750 Matom-step/s
99.6% CPU use with 4 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.0303     | 2.0845     | 2.1607     |   3.3 | 30.03
Neigh   | 1.9434     | 2.0646     | 2.2161     |   7.5 | 29.74
Comm    | 1.9384     | 2.0311     | 2.114      |   4.4 | 29.26
Output  | 0.0048628  | 0.0059804  | 0.0092615  |   2.4 |  0.09
Modify  | 0.39522    | 0.50892    | 0.61115    |  10.7 |  7.33
Other   |            | 0.2471     |            |       |  3.56

Nlocal:            512 ave         524 max         497 min
Histogram: 1 0 0 0 1 0 0 1 0 1
Nghost:            639 ave         653 max         628 min
Histogram: 1 0 0 1 1 0 0 0 0 1
Neighs:           3132 ave        3186 max        3015 min
Histogram: 1 0 0 0 0 0 0 1 0 2

Total # of neighbors = 12528
Ave neighs/atom = 6.1171875
Neighbor list builds = 10540
Dangerous builds = 0

unfix 1
dump           1 all atom ${run_steps} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d1.4_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d1.4_N100000.lammpstrj
dump           2 all dcd ${thermo_time} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 250 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 250 3dWCA_T0.1_d${density}_N${run_steps}.dcd
dump           2 all dcd 250 3dWCA_T0.1_d1.4_N${run_steps}.dcd
dump           2 all dcd 250 3dWCA_T0.1_d1.4_N100000.dcd
fix 1 all nvt temp ${initial_temperature} ${final_temperature} ${tau}
fix 1 all nvt temp 3 ${final_temperature} ${tau}
fix 1 all nvt temp 3 0.1 ${tau}
fix 1 all nvt temp 3 0.1 0.5

run ${run_steps}
run 100000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 3.169 | 3.169 | 3.17 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     50000   3.0479198      3.6802756      0              8.2499229      71.237448    
     50250   2.9846503      3.4813022      0              7.9560916      68.495752    
     50500   3.0365335      3.5448171      0              8.0973934      69.639529    
     50750   2.9856769      3.6442322      0              8.1205607      71.047074    
     51000   2.9102437      3.6289585      0              7.9921925      70.457609    
     51250   3.0168707      3.5994608      0              8.1225572      70.060125    
     51500   2.913157       3.6188962      0              7.986498       70.219646    
     51750   2.9132076      3.6486049      0              8.0162826      70.336584    
     52000   2.9172967      3.6380598      0              8.0118682      70.013302    
     52250   2.9005115      3.5368771      0              7.8855199      69.470835    
     52500   2.9800858      3.5668575      0              8.0348034      69.469628    
